index	relation_uri
0	http://ddis.ch/atai/indirectSubclassOf
1	http://www.wikidata.org/prop/direct/P101
2	http://www.wikidata.org/prop/direct/P1018
3	http://www.wikidata.org/prop/direct/P102
4	http://www.wikidata.org/prop/direct/P10241
5	http://www.wikidata.org/prop/direct/P1027
6	http://www.wikidata.org/prop/direct/P1029
7	http://www.wikidata.org/prop/direct/P103
8	http://www.wikidata.org/prop/direct/P1034
9	http://www.wikidata.org/prop/direct/P1035
10	http://www.wikidata.org/prop/direct/P1037
11	http://www.wikidata.org/prop/direct/P1038
12	http://www.wikidata.org/prop/direct/P1040
13	http://www.wikidata.org/prop/direct/P1049
14	http://www.wikidata.org/prop/direct/P105
15	http://www.wikidata.org/prop/direct/P1050
16	http://www.wikidata.org/prop/direct/P1056
17	http://www.wikidata.org/prop/direct/P106
18	http://www.wikidata.org/prop/direct/P10606
19	http://www.wikidata.org/prop/direct/P1066
20	http://www.wikidata.org/prop/direct/P10664
21	http://www.wikidata.org/prop/direct/P1071
22	http://www.wikidata.org/prop/direct/P1074
23	http://www.wikidata.org/prop/direct/P10741
24	http://www.wikidata.org/prop/direct/P108
25	http://www.wikidata.org/prop/direct/P1080
26	http://www.wikidata.org/prop/direct/P10888
27	http://www.wikidata.org/prop/direct/P110
28	http://www.wikidata.org/prop/direct/P11106
29	http://www.wikidata.org/prop/direct/P11108
30	http://www.wikidata.org/prop/direct/P112
31	http://www.wikidata.org/prop/direct/P1142
32	http://www.wikidata.org/prop/direct/P1165
33	http://www.wikidata.org/prop/direct/P11738
34	http://www.wikidata.org/prop/direct/P11799
35	http://www.wikidata.org/prop/direct/P118
36	http://www.wikidata.org/prop/direct/P119
37	http://www.wikidata.org/prop/direct/P1192
38	http://www.wikidata.org/prop/direct/P1196
39	http://www.wikidata.org/prop/direct/P121
40	http://www.wikidata.org/prop/direct/P122
41	http://www.wikidata.org/prop/direct/P123
42	http://www.wikidata.org/prop/direct/P12443
43	http://www.wikidata.org/prop/direct/P126
44	http://www.wikidata.org/prop/direct/P1269
45	http://www.wikidata.org/prop/direct/P127
46	http://www.wikidata.org/prop/direct/P1283
47	http://www.wikidata.org/prop/direct/P1290
48	http://www.wikidata.org/prop/direct/P12933
49	http://www.wikidata.org/prop/direct/P1299
